Reviewer Name,Rating,Review,Date,Review_english
Jean-claude D.,4 étoiles,"Une place qui est tranquille, propre, bien éclairée, les clients sont toujours disciplinés, ils attendent toujours en ligne pour être servis selon les règles, pour l'ambiance elle est normale les gens ne sont pas désagréables ou impatients…",il y a 9 mois,a place that is quiet clean well lit customers are always disciplined they always wait in line to be served according to the rules for the atmosphere it is normal people are not unpleasant or impatient
Mo Reese (MoReese77),3 étoiles,"I wanted donuts the other day after being in front of the computer for too long. The place on St. Denis is only open sometimes as the crow flies, but this place on St. Cats 🐈  is solid.…",il y a 8 mois,i wanted donuts the other day after being in front of the computer for too long the place on st denis is only open sometimes as the crow flies but this place on st cats   is solid
Moundji MAOUI,3 étoiles,"Parfait pour les lève-tot. Ouvre à 5 heures du matin et le samedi matin c'est appréciable. Par contre, ne pas rechercher la qualité, il s'agit d'y prendre un café seulement. Le reste est beaucoup trop sucré. Pour ma part, j'ai pris un bagel…",il y a 9 mois,perfect for early risers opens at 5 a.m. and on Saturday mornings it's nice on the other hand don't look for quality it's about having a coffee only the rest is much too sweet for me I had a bagel
Cédric Sabbe,5 étoiles,"Lieu incontournable du Québec, le Tim Hortons avec un large choix de donuts 🍩, chocolat ou encore,  sirop d’érable foiré à la crème vanille ou caramel , le choix dans les cafés , filtres ou expresso etc……",il y a 7 mois,"a must-see place in Quebec, the Tim Hortons with a wide choice of chocolate donuts or even maple syrup mixed with vanilla or caramel cream, the choice of filter or espresso coffees, etc."
Alex Smith,1 étoile,"*Please Save your Health by not coming to this place*
Their kitchen  is literally garbage, full of cockroach and dirts. I don't know how but  When Tim Horton comes for surprise inspection they already knew about…",il y a un mois,"please save your health by not coming to this place
their kitchen  is literally garbage full of cockroach and dirts i dont know how but  when tim horton comes for surprise inspection they already knew about"
Marilou Tolentino,4 étoiles,"We went there one evening on a weekend and it was so busy. The tables were not properly wiped down so we did the cleaning ourselves which we didn't mind,  because the staff were so busy. We're tourists visiting  the city and we wanted some…",il y a 7 mois,we went there one evening on a weekend and it was so busy the tables were not properly wiped down so we did the cleaning ourselves which we didnt mind  because the staff were so busy were tourists visiting  the city and we wanted some
Marco L,1 étoile,This store is the worst Tim Hortons I've visited in Montréal. 3 visits and each time the espresso machine is not working to make drinks. This is ridiculous.  Either get a new machine or get another one as a backup. If you want to know why…,il y a un mois,this store is the worst tim hortons ive visited in montréal 3 visits and each time the espresso machine is not working to make drinks this is ridiculous  either get a new machine or get another one as a backup if you want to know why
Celine St Pierre,2 étoiles,1 personne dans les lieux parlait le francais une personne âgée était enfermé dans les toilettes et personne ne comprenais ce que nous disions il a fallu que l ont se fâche pour qu ils aille chercher la seul personne qui parlait francais  une plainte à l office de la langue française suivra service nul,il y a une semaine,1 person in the premises spoke French an elderly person was locked in the toilet and no one understood what we were saying they had to get angry so they went and got the only person who spoke French a complaint to the office of the French language will follow zero service
A. D,3 étoiles,"This Tim Hortons restaurant has good customer service, quick and friendly staff to a certain degree that make every visit enjoyable.…",il y a 4 mois,this tim hortons restaurant has good customer service quick and friendly staff to a certain degree that make every visit enjoyable
Marc G,2 étoiles,"Personnel peu aimable et à peine honnête, qui ne dit même pas bonjour ni merci.
Un chocolat chaud comptabilisé  en trop sur la note et la caissière qui sciemment ne rembourse pas alors que sa collègue lui signale l'erreur.
Première expérience dans un Tim Horton, j'espère que les autres font mieux.",il y a 3 mois,"unfriendly and barely honest staff who don't even say hello or thank you
a hot chocolate added to the bill and the cashier who knowingly does not reimburse even though her colleague points out the error
first experience in a tim horton I hope the others do better"
Nefarian,5 étoiles,These round ball things are extremely delicious!! Can absolutely recommend them. But I didn't like the donut.,il y a 6 mois,these round ball things are extremely delicious can absolutely recommend them but i didnt like the donut
Safir Razi,1 étoile,"Que commenter après ça ?!

À l’air d’Internet, de YouTube, TikTok… Se permettre de servir un bagel aussi…",il y a un an,"what to comment after that 

looking like the internet of youtube tiktok allow yourself to serve a bagel too"
Olivia Rogers,3 étoiles,Pumpkin spice latte is good but could use a little more flavor. Pumpkin donut was delicious. Husband said his sandwich was a 7 out of 10. Place was dirty with trash everywhere and the bathrooms had no soap.,il y a un an,pumpkin spice latte is good but could use a little more flavor pumpkin donut was delicious husband said his sandwich was a 7 out of 10 place was dirty with trash everywhere and the bathrooms had no soap
scott mcgonigal,2 étoiles,"Not open when it says.....it's 5h33 and still not open.

(Cont.... Réponse à le propriétaire....) Merci de me contacter.......ici plus de…",il y a un mois,"not open when it says its 5:33 and still not open

cont response to the owner please contact me here more"
Dee S.,5 étoiles,Clean place and good coffee and breakfast. jalapeno feuilete is great. very friendly staff. 5 star.,il y a un an,clean place and good coffee and breakfast jalapeno feuilete is great very friendly staff 5 star
Lord Rafikiii,1 étoile,Salarié qui nous donne la mauvaise commande et ensuite elle rigole quand je lui fait remarquer. Elle secoue le café devant moi pour montrer que c'est le même mais ça ne marche pas à part en faire tomber à côté et toucher avec les mains sales l'endroit où je vais boire. Pour finir bien sûr aucun échange possible en français....,il y a 2 ans,"employee who gives us the wrong order and then she laughs when I point it out to her, she shakes the coffee in front of me to show that it's the same but it doesn't work apart from dropping some next to it and touching the place where I'm going with dirty hands drink to finish of course no exchange possible in French"
khalil farehane (BLVCKVNCKOR),1 étoile,"Service médiocre : après 21h, lorsque vous demandez un expresso, on vous informe que la machine à café est en panne. Ce n'est pas la première fois que cela arrive ; c'est en fait la troisième occurrence de ce problème",il y a 2 mois,poor service after 9pm when you ask for an espresso you are informed that the coffee machine is broken this is not the first time this has happened it is in fact the third occurrence of this problem
Nicolas NUON,4 étoiles,"Bonne expérience à ce Tim horton, service rapide et efficace

J’ai testé le cappuccino glace aux épices d’automnes et un chocolat à la neige,…",il y a un an,"good experience at this tim horton fast and efficient service

I tried the cappuccino ice cream with autumn spices and a chocolate with snow"
Am Pou,1 étoile,Restaurant un peu sale mais le pire c’est que j’ai dû partir parce que les employés ne parlent pas français. Je refuse de parler anglais dans une ville FRANCOPHONE. Encore une plainte de déposée auprès de l’OQLF.,il y a un mois,restaurant a little dirty but the worst is that I had to leave because the employees do not speak French I refuse to speak English in a French-speaking city yet another complaint filed with loqlf
Mattéo Neau,1 étoile,"J’ai passé une commande sur internet, j’arrive pour la récupérer, personne avait l’air d’être au courant ce n’est qu’après qu’ils ont sortie mon ticket de la machine et commancé à faire ma commande. Ensuite j’attends au côté chaud elle…",il y a 5 mois,I placed an order online and I arrived to pick it up. No one seemed to know. It was only after that that they took my ticket out of the machine and started to make my order. Then I waited on the hot side.
Omega Power,1 étoile,L’hygiène des employés n’est absolument pas au rendez-vous de plus aucuns parlent le minimum de français et qui plus est la personne qui a pris notre commande elle mettais ses mains sales dans les verres pour nous servir des boissons…,il y a 3 mois,"the hygiene of the employees is absolutely not there, no one speaks a minimum of French and what's more, the person who took our order put her dirty hands in the glasses to serve us drinks"
WolFrigg,1 étoile,La nourriture est relativement correcte pour une chaine de fast-food si on n'est pas derrangé à l'idée de manger dans un lieu habité par des cafards. A fuir absoluement !,il y a 11 mois,the food is relatively correct for a fast food chain if you are not bothered by the idea of ​​eating in a place inhabited by cockroaches to avoid absolutely
Geoffrey,1 étoile,Ma visite récente chez Tim Hortons a été une déception totale en raison de la présence de cafards dans la salle. C'est inacceptable et compromet sérieusement l'hygiène. J'espère que des mesures seront prises rapidement pour résoudre ce problème.,il y a 5 mois,my recent visit to tim hortons was a total disappointment due to the presence of cockroaches in the room this is unacceptable and seriously compromises hygiene I hope action will be taken quickly to resolve this issue
J. Roberto Plaza Méndez,5 étoiles,"The experience in this sucursal was very good: fast attention, good service and good products, the quantity of people wasn't problem.
I will return again!!!",il y a un an,"the experience in this sucursal was very good fast attention good service and good products the quantity of people wasnt problem
i will return again"
Dj Dartfrog,1 étoile,Never  any  espresso  3 days  straight !  Teach  your staff how to  refill  the beans please   or  explain how the machine works  if there's  beans in the  machine and its on there is  espresso…,il y a 5 mois,never  any  espresso  3 days  straight   teach  your staff how to  refill  the beans please   or  explain how the machine works  if theres  beans in the  machine and its on there is  espresso
Honest Reviews,4 étoiles,I visited this location three times over my stay in Montreal and the service is great. The girl working at the cashier is super sweet and helpful.…,il y a un an,i visited this location three times over my stay in montreal and the service is great the girl working at the cashier is super sweet and helpful
Nadia Carvalho Carvalho,1 étoile,"le café était sale, la caissière m'a servi deux fois du café froid, facturé et ne l'a pas rendu. C'était le pire service que j'ai jamais eu. pas de superviseur dans le magasin, équipe perdue dans un service tranquille.",il y a un an,the coffee was dirty the cashier served me cold coffee twice charged and did not return it it was the worst service I have ever had no supervisor in the store team lost in quiet service
Pavel Gulyaev,1 étoile,Cockroaches on the shelves!!! Disgutsing. Stayed in the line and was looking at the doughnut to order and mentioned two cockroaches next to it. That’s unsafe and this whole place must be closed until it cleaned up,il y a 4 mois,cockroaches on the shelves disgutsing stayed in the line and was looking at the doughnut to order and mentioned two cockroaches next to it thats unsafe and this whole place must be closed until it cleaned up
isabelle boucher,5 étoiles,"Très bien pour le petit dej et pour un repas rapide ... Pas d'attente pour avoir son plat bien chaud !
Suffisamment de choix pour satisfaire tout le monde",il y a 5 mois,"very good for breakfast and for a quick meal, no waiting to get your dish hot 
enough choice to satisfy everyone"
Isabelle Marion,1 étoile,Je mets une seule étoile pour le service en anglais uniquement et à l’intention du propriétaire: ne me demandez pas poliment de venir remplir votre formulaire parce que vous avez les rétroactions de vos clients à cœur. Comme ça fait des…,il y a 7 mois,"I put only one star for the service in English only and for the owner's benefit, don't politely ask me to come and fill out your form because you care about your customers' feedback like that makes"
Ahmed Alsharief,1 étoile,"Tables are messy the staff refused to clean it .This happened 11:20 am I personally asked kamal repeatedly and politely he frankly refused (said no)
I am here every day averge spend around 7-8 $",il y a 10 mois,"tables are messy the staff refused to clean it this happened 1120 am i personally asked kamal repeatedly and politely he frankly refused said no
i am here every day averge spend around 78"
Samuel Parent,1 étoile,"Pain sec, service unilingue anglophone. Café loin des standard des autre Tim.  Toute ma commande à fini au vidange. 20$ de gaspiller. Vous venez de perdre un autre
client.",il y a 6 mois,"dry bread unilingual English-speaking service coffee far from the standards of the other tim all my order ended up emptying 20 to waste you have just lost another
customer"
Oussama Bédh'n,1 étoile,"Le service de préparation des sandwish est plus respecter les condition de hygiéne
Car il m'as préparé un sandwish la table elle meme pas elle n'est pas propre",il y a 5 mois,"the sandwich preparation service no longer respects hygienic conditions
because he prepared a sandwich for me, the table itself is not clean"
Rita Loy,5 étoiles,This was the first time I have ever been to any Tim Hortons. I really enjoyed the the shell pasta chicken soup and the Habanero chicken salad.,il y a un an,this was the first time i have ever been to any tim hortons i really enjoyed the the shell pasta chicken soup and the habanero chicken salad
Christian Alejandro Muñoz Robles,1 étoile,Lazy workers it’s 10:40 and they don’t want to make food. You should improve your hiring process.,il y a 3 mois,lazy workers its 1040 and they dont want to make food you should improve your hiring process
Mickael Liger,5 étoiles,Quand nous somme au canada Tim Hortons et notre deuxième maison ...le bonheur à l état pure..leurs cappuccino glacé au caramel une tuerie d ailleurs il devrais être remboursés par la cesu tellement il apport de plaisir 😀…,il y a 5 ans,when we are in canada tim hortons and our second home pure happiness iced cappuccino with caramel a killer in fact it should be reimbursed by the cesu it brings so much pleasure
Alejandro Gálvez Campos,1 étoile,"The time of open is not respected, my brother and wanted to come in at 5:30 am. Outside temperature was -4 C. And the worker inside the store act like hi didn’t know there was someone outside. Very disgusting.",il y a 7 mois,the time of open is not respected my brother and wanted to come in at 530 am outside temperature was 4 c and the worker inside the store act like hi didnt know there was someone outside very disgusting
Coralie Rolland,4 étoiles,"They burned my wrap and refused to give me another one once, otherwise no issue",il y a 3 mois,they burned my wrap and refused to give me another one once otherwise no issue
Sid Khen,5 étoiles,"A nice place, excellent service and to the mark. Always the correct order with no delay… wait time might vary depending on the order but it doesn’t take much long as the employees in the morning are fast paced!",il y a 8 mois,a nice place excellent service and to the mark always the correct order with no delay wait time might vary depending on the order but it doesnt take much long as the employees in the morning are fast paced
Mario Lacroix,3 étoiles,"On aime tous les Tim Hortons, mais tous n' aiment pas autant leurs clients, le Cappuccino glacé commandé n' était pas plein.
Service courtois par-contre.",il y a 4 ans,"We all love Tim Hortons but not everyone loves their customers as much. The iced cappuccino ordered was not full
courteous service"
Killian Tagand,2 étoiles,Service uniquement en anglais. Serveuse qui se trompe dans la prise de la commande et propreté à revoir.,il y a 3 mois,service only in English waitress who makes a mistake when taking the order and cleanliness to be reviewed
Morgane Richard,4 étoiles,Bonne enseigne ! J'ai pris un givré chocolat plutôt bon. Service rapide.,il y a 11 mois,good brand I had a chocolate frosted pretty good fast service
Melissa P,3 étoiles,"Personnel qui pousse à vite faire son choix. Pas trop de temps à la découverte de la carte. Plutôt abordable.
Wrap poulet : fine tranche de poulet qui se perd dans le wrap.…",il y a 9 mois,"staff who push you to quickly make your choice, not too much time to discover the rather affordable menu
chicken wrap thin slice of chicken that gets lost in the wrap"
Gina L,4 étoiles,They opened earlier than I expected thankfully. I loved it,il y a un an,they opened earlier than i expected thankfully i loved it
