Reviewer Name,Rating,Review,Date,Review_english,Sentiment
K,,The food here has been consistently pretty bad but today was the last straw when I received an english muffin covered in mold.…,il y a 5 mois,the food here has been consistently pretty bad but today was the last straw when i received an english muffin covered in mold,Negative
Tiffany,4,Service was good. The girl at counter was polite and did not complain to give me an extra paper bag because they have sighed and rolled eyes at other Tims locations. This one she didnt. Timbits were fresh. There was a good variety…,il y a 7 mois,service was good the girl at counter was polite and did not complain to give me an extra paper bag because they have sighed and rolled eyes at other tims locations this one she didnt timbits were fresh there was a good variety,Positive
Cassie Fast,,"I am a teacher and I purchased a dozen donuts for my students on their last day of school. When we opened the box in class, there was a live earwig inside! I know it was not from along the way because I had the box closed and was carrying…",il y a 2 semaines,i am a teacher and i purchased a dozen donuts for my students on their last day of school when we opened the box in class there was a live earwig inside i know it was not from along the way because i had the box closed and was carrying,Negative
Erica Ruffolo,,"i come here every morning , im a loyal customer and i usually enjoy it. i love the staff here, however this morning i found an entire dead wasp in my ice cap. no it didn’t fly in, it’s raining and there are no wasps flying around in the…",il y a 9 mois,i come here every morning  im a loyal customer and i usually enjoy it i love the staff here however this morning i found an entire dead wasp in my ice cap no it didnt fly in its raining and there are no wasps flying around in the,Positive
C. Yassine,3,"Food was according Tom Horton standards 👍🏻, however the service was not very welcoming and interested to help you out ( as a tourist in Montreal)🙁…",il y a 4 mois,food was according tom horton standards  however the service was not very welcoming and interested to help you out  as a tourist in montreal,Negative
A Young,,They didn’t had hot drinks just cold ones and yet only told us that after we already made our purchase. We asked which donuts or if any timbits had dairy and they said they couldn’t tell but in the store they don’t use dairy. I asked if…,il y a 2 semaines,they didnt had hot drinks just cold ones and yet only told us that after we already made our purchase we asked which donuts or if any timbits had dairy and they said they couldnt tell but in the store they dont use dairy i asked if,Negative
Catherine,4,"Great staff, great coffee ☕
Clean café to hang out.
One annoying thing: the door 🚪 🙄…",il y a 4 mois,"great staff great coffee 
clean café to hang out
one annoying thing the door",Positive
SINA Far,,"First time at this place and the last time!!!!!!!!
Unfortunately, I saw a beetle walking on the red wood on the(I attached the photo) wall next to me !!!…",il y a 10 mois,"first time at this place and the last time
unfortunately i saw a beetle walking on the red wood on thei attached the photo wall next to me",Negative
Eric Jodoin,,"Pas beaucoup de personnel parle pas français, donc mauvaise compréhension des commandes et en finale, si tu vérifie pas ta commande, grosse possibilité que tu a pas ce que tu voulais. L’été, les frigo pas assez froid , donc le lait n’est plus bon. Ce Tim Hortons 👎 seulement pour dépanner…",il y a 4 mois,not many staff don't speak French so poor understanding of orders and in the end if you don't check your order big possibility that you don't get what you wanted in summer the fridge not cold enough so the milk is no longer good this tim hortons only to help out,Negative
Saya Gofferaiw,3,"The service is sooooo bad almost every Tim Hortons I got to. I feel like the employees are teenagers who have 0 respect for a certain group of race. Anyways I am not going too deep on this, but my experience with the employees of most Tim…",il y a 3 mois,the service is sooooo bad almost every tim hortons i got to i feel like the employees are teenagers who have 0 respect for a certain group of race anyways i am not going too deep on this but my experience with the employees of most tim,Negative
